nct_id,title,phase,filename,url,status
NCT05189106,Neurodegenerative Alzheimer's Disease and Amyotrophic Lateral Sclerosis (NADALS) Basket Trial,"PHASE1, PHASE2",Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/06/NCT05189106/Prot_000.pdf,downloaded
NCT02051608,A Study of Gantenerumab in Participants With Mild Alzheimer Disease,PHASE3,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/08/NCT02051608/Prot_000.pdf,downloaded
NCT06285240,Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia Taking Stable Donepezil Treatment (MK-1167-007),PHASE1,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/40/NCT06285240/Prot_SAP_000.pdf,downloaded
NCT01300728,Study of Intravenous Immunoglobulin in Amnestic Mild Cognitive Impairment,PHASE2,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/28/NCT01300728/Prot_SAP_000.pdf,downloaded
NCT01972204,Intensive Instruction on the Use of Aricept,NA,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/04/NCT01972204/Prot_SAP_000.pdf,downloaded
NCT05310071,A Study to Verify the Clinical Benefit of Aducanumab in Participants With Early Alzheimer's Disease,PHASE3,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/71/NCT05310071/Prot_000.pdf,downloaded
NCT03531710,"An Extension Study of V203-AD Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of UB-311",PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/10/NCT03531710/Prot_000.pdf,downloaded
NCT03901105,Evaluation of Flortaucipir PET Signal and Cognitive Change in Early Alzheimer's Disease,PHASE3,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/05/NCT03901105/Prot_000.pdf,downloaded
NCT03856359,Trial of Rifaximin in Probable Alzheimer's Disease,PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/59/NCT03856359/Prot_000.pdf,downloaded
NCT05309369,Musical Engagement of Brain LObes in Alzheimer's Disease Patients StudY,NA,Prot_SAP_001.pdf,https://cdn.clinicaltrials.gov/large-docs/69/NCT05309369/Prot_SAP_001.pdf,downloaded
NCT03638323,Age-related Hearing Loss and Lexical Disorders,N/A,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/23/NCT03638323/Prot_SAP_000.pdf,downloaded
NCT05630118,Online Insomnia Intervention to Reduce Alcohol Use,NA,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/18/NCT05630118/Prot_000.pdf,downloaded
NCT03282097,Decisions About Cancer Screening in Alzheimer's Disease,NA,Prot_SAP_001.pdf,https://cdn.clinicaltrials.gov/large-docs/97/NCT03282097/Prot_SAP_001.pdf,downloaded
NCT04700540,A Mobile Informatics Solution to Aid in Memory,NA,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/40/NCT04700540/Prot_SAP_000.pdf,downloaded
NCT04603482,Self-Management Intervention: Considering Needs & Preferences of Dementia Caregivers (Caregiver Career Study),NA,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/82/NCT04603482/Prot_SAP_000.pdf,downloaded
NCT02129348,Treatment of Psychosis and Agitation in Alzheimer's Disease,PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/48/NCT02129348/Prot_000.pdf,downloaded
NCT06210035,Effects of Heart Rate Oscillations During Meditation on Plasma Biomarkers of Alzheimer's Disease,NA,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/35/NCT06210035/Prot_000.pdf,downloaded
NCT05617508,N-DOSE AD: A Dose Optimization Trial of Nicotinamide Riboside in Alzheimer's Disease,PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/08/NCT05617508/Prot_000.pdf,downloaded
NCT03919162,A Trial to Evaluate the Efficacy and Safety of PQ912 in Patients With Early AD,PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/62/NCT03919162/Prot_000.pdf,downloaded
NCT04388254,"Simufilam (PTI-125), 100 mg, for Mild-to-moderate Alzheimer's Disease Patients",PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/54/NCT04388254/Prot_000.pdf,downloaded
NCT04949529,Falls: A Marker of Preclinical AD,N/A,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/29/NCT04949529/Prot_SAP_000.pdf,downloaded
NCT03702465,Assessment of the Impact of a Personalised Nutrition Intervention in Impaired Glucose Regulation,NA,Prot_002.pdf,https://cdn.clinicaltrials.gov/large-docs/65/NCT03702465/Prot_002.pdf,downloaded
NCT04640077,A Follow-On Study of Donanemab (LY3002813) With Video Assessments in Participants With Alzheimer's Disease (TRAILBLAZER-EXT),PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/77/NCT04640077/Prot_000.pdf,downloaded
NCT05744401,"A Long-term Extension Study to Evaluate Safety, Tolerability, and Efficacy of AL002 in Alzheimer's Disease",PHASE2,Prot_000.pdf,https://cdn.clinicaltrials.gov/large-docs/01/NCT05744401/Prot_000.pdf,downloaded
NCT02884492,Imaging Tau in Alzheimer's Disease and Normal Aging,PHASE2,Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/92/NCT02884492/Prot_SAP_000.pdf,downloaded
